block,norm_vX_tilde,norm_vE_decided,norm_vRHS,norm_Fwm_bm,norm_residual,blockErr,coherence
0,2120.6723855607393,106.45139707025575,2120.6723855607393,106.45139707025575,2117.967148776746,4485784.843297498,0.053389075472102344
1,2120.6723855607393,109.91695051322712,2117.9671487767464,40.89440481576143,2115.8652010634323,4476885.549071199,0.031847661137797634
2,2120.6723855607393,151.0755592580767,2115.8652010634323,81.61051396441222,2112.033587225899,4460685.873570299,0.02145953976166984
3,2120.6723855607393,213.47558700406722,2112.033587225899,81.53815521992833,2108.772659184497,4446922.128124055,0.045705707195460236
4,2120.6723855607393,225.3367372084486,2108.7726591844967,46.9450805480242,2107.6529600271383,4442200.999911157,0.04766435139982954
5,2120.6723855607393,226.65279266229402,2107.6529600271383,40.894404815761426,2105.2655259118633,4432142.934592954,0.06319092451786236
6,2120.6723855607393,263.7699592469248,2105.265525911863,81.61051396441223,2098.9559364121087,4405616.022999632,0.06684508908857394
7,2120.6723855607393,339.78919391421255,2098.9559364121087,121.70282587149418,2087.922699028295,4359421.197117601,0.18849330474120501
8,2120.6723855607393,416.97613375359924,2087.922699028295,146.17153344940104,2074.023299645442,4301572.647472166,0.1691298247290881
9,2120.6723855607393,472.627119736988,2074.0232996454415,143.55349849592255,2061.5070750555274,4249811.420503995,0.13836887602437142
10,2120.6723855607393,525.0342258667386,2061.5070750555274,145.25049759365982,2053.793828405805,4218069.089597773,0.10480658077203289
11,2120.6723855607393,546.6874843062016,2053.793828405805,81.53815521992833,2051.273276267346,4207722.053928571,0.06970236629366972
12,2120.6723855607393,545.6362554296189,2051.2732762673463,64.25271826599618,2049.869305670706,4201964.170330903,0.04692108624804378
13,2120.6723855607393,565.9555171603845,2049.869305670706,47.22876830773355,2048.5344570622697,4196493.421771408,0.03595888937559844
14,2120.6723855607393,571.9128476491317,2048.53445706227,42.77173349911073,2047.410167089783,4191888.3923026132,0.020244451271947825
15,2120.6723855607393,574.6160502671199,2047.410167089783,42.77173349911073,2046.717243712169,4189051.475708738,0.018706203346556753
16,2120.6723855607393,567.5701247921312,2046.717243712169,27.099434115533573,2046.5507159201588,4188369.832833315,0.02502459897595811
17,2120.6723855607393,568.0361029333613,2046.5507159201593,4.222052905644098,2046.5388309493794,4188321.1865836526,0.02265516932609089
18,2120.6723855607393,567.9387759446745,2046.5388309493796,7.532774230055499,2046.4788468044146,4188075.6704179267,0.025868251865673944
19,2120.6723855607393,567.3289629169202,2046.4788468044146,15.695363988519132,2046.1806907390232,4186855.419153226,0.02768591772518686
20,2120.6723855607393,571.8229006402403,2046.1806907390232,40.89440481576143,2045.091409342942,4182398.8725683005,0.030790870807653362
21,2120.6723855607393,576.0415891667329,2045.0914093429421,40.89440481576143,2043.1287888189327,4174375.2477007187,0.029563692794217146
22,2120.6723855607393,589.6095094283834,2043.128788818933,81.61051396441223,2039.9003234100103,4161193.3294482646,0.031770007604451256
23,2120.6723855607393,607.783452992499,2039.90032341001,81.53815521992831,2037.4510110278645,4151206.6223384673,0.029744681910614926
24,2120.6723855607393,609.7375676734603,2037.4510110278645,58.036946298036284,2036.6444727248859,4147920.7082808283,0.03575517401149302
25,2120.6723855607393,606.6363326910275,2036.6444727248859,39.078776247356636,2036.0255521455308,4145400.0489895134,0.04480099574731841
26,2120.6723855607393,608.1884021588376,2036.0255521455306,40.89440481576143,2035.006327384907,4141250.7524966076,0.042704496690028904
27,2120.6723855607393,609.7250745432995,2035.006327384907,43.34005590660649,2034.0936028871386,4137536.78530638,0.04261566522436852
28,2120.6723855607393,615.2475244608486,2034.0936028871386,30.596557438217083,2033.8089433059886,4136378.817871422,0.08850063288567955
29,2120.6723855607393,614.830327246596,2033.8089433059886,3.533539528005764,2033.7807366815734,4136264.0848970436,0.08173164015389951
30,2120.6723855607393,615.9521056228002,2033.7807366815734,15.695363988519128,2033.6449842724205,4135711.9220563737,0.07965902196318637
31,2120.6723855607393,621.5738523963331,2033.6449842724205,32.46189021103027,2033.486414785464,4135066.9991170396,0.07389649392649272
32,2120.6723855607393,622.1734857167249,2033.486414785464,10.201687378354306,2033.375881786923,4134617.4766327464,0.05753362376981228
33,2120.6723855607393,621.2079830454204,2033.375881786923,32.641895141660484,2032.7101418705981,4131910.520863587,0.045752940026803905
34,2120.6723855607393,624.7845601314737,2032.7101418705984,40.894404815761426,2031.3281240305846,4126293.947477614,0.041548251502924946
35,2120.6723855607393,634.8932463095188,2031.3281240305844,64.25271826599618,2030.1104121733495,4121348.285614647,0.0289399469088093
36,2120.6723855607393,635.7223605645852,2030.1104121733495,28.819711143532157,2029.3576970698557,4118292.662656668,0.044384958609639334
37,2120.6723855607393,637.1128850537822,2029.357697069856,40.894404815761426,2026.447615124079,4106489.936842067,0.050167690475873127
38,2120.6723855607393,658.1289311192448,2026.4476151240788,103.20772139418953,2019.3930141800927,4077948.14571936,0.032218325581851566
39,2120.6723855607393,699.8140046799286,2019.393014180093,125.20159942451511,2009.8183141537534,4039369.6559078353,0.13841923769665035
40,2120.6723855607393,740.2938626717955,2009.8183141537534,121.70282587149417,2003.1432906433035,4012583.0428492823,0.12218741984024781
41,2120.6723855607393,752.0497811604095,2003.1432906433033,41.08604066505219,2001.883992393585,4007539.519001679,0.09442300686574082
42,2120.6723855607393,755.0198790277504,2001.8839923935848,40.89440481576143,2000.7585817229751,4003034.902338131,0.08373550790036399
43,2120.6723855607393,763.9491882281931,2000.7585817229751,28.121087366056095,2000.289833387526,4001159.4175534965,0.08620705226115451
44,2120.6723855607393,763.2735467355743,2000.2898333875262,28.819711143532153,1998.9925581372784,3995971.24748822,0.07043749559636552
45,2120.6723855607393,779.862877235238,1998.9925581372784,64.70878407629253,1996.523524434446,3986106.183620142,0.04444392211223402
46,2120.6723855607393,799.595333781345,1996.523524434446,64.95354052864647,1994.509033624201,3978066.285208544,0.008668779135251298
47,2120.6723855607393,803.3131504516871,1994.5090336242008,39.173291959311804,1994.1393261416467,3976591.652064661,0.09587167477990655
48,2120.6723855607393,801.8314662885822,1994.139326141647,15.695363988519118,1993.6899175334897,3974799.4872746933,0.0696798346533719
49,2120.6723855607393,800.8044624797112,1993.6899175334897,40.894404815761426,1991.4168913836502,3965741.235288121,0.06537199269008591
50,2120.6723855607393,806.5062262197736,1991.4168913836504,81.61051396441223,1985.3470362359724,3941602.8542909594,0.06246290076701258
51,2120.6723855607393,838.8683116200424,1985.3470362359724,121.70282587149418,1974.5286645084204,3898763.446965406,0.06478549379166228
52,2120.6723855607393,898.4262060353685,1974.5286645084204,146.17153344940104,1961.6645080952044,3848127.6423204,0.10084388418769447
53,2120.6723855607393,954.0085463537055,1961.6645080952044,143.55349849592258,1954.1142731428833,3818562.5925007393,0.07160808326084331
54,2120.6723855607393,960.8902543228369,1954.1142731428836,29.171853629817292,1952.4733575716064,3812152.2120269416,0.03280502598070634
55,2120.6723855607393,976.6766069640638,1952.4733575716064,81.61051396441223,1949.5649090092375,3800803.3344401964,0.03576960485614404
56,2120.6723855607393,983.174800724289,1949.5649090092375,43.91615609117638,1948.7243701852515,3797526.670953905,0.04344872036861383
57,2120.6723855607393,989.7583808824496,1948.7243701852512,40.89440481576143,1947.1802148398028,3791510.789063581,0.021096251556763545
58,2120.6723855607393,1012.9946034126742,1947.1802148398028,64.44792846102143,1943.665847331188,3777836.926081665,0.05982324318429836
59,2120.6723855607393,1041.6401177386028,1943.6658473311882,104.01932541245452,1938.4380825342953,3757542.1998192356,0.05386484125335196
60,2120.6723855607393,1061.9292657369544,1938.4380825342953,103.20772139418953,1934.2632672817297,3741374.387155392,0.08627123344217891
61,2120.6723855607393,1052.1067700370054,1934.26326728173,81.61051396441225,1932.281856919303,3733713.1745795095,0.06449364045189375
62,2120.6723855607393,1044.7413941949446,1932.281856919303,16.806239296119283,1932.063609537714,3732869.7912999,0.06008266242778802
63,2120.6723855607393,1045.172669164001,1932.063609537714,28.81971114353215,1931.4075753912493,3730335.2222787044,0.06599426505480423
64,2120.6723855607393,1039.7942420145266,1931.4075753912493,40.89440481576145,1929.5653457700444,3723222.423596671,0.05952717986873006
65,2120.6723855607393,1029.796038275705,1929.5653457700446,81.61051396441223,1926.367328226819,3710891.083259733,0.08460889273089783
66,2120.6723855607393,1032.2749283271394,1926.3673282268192,81.61051396441225,1923.9330406578963,3701518.3449351382,0.0706618996484146
67,2120.6723855607393,1031.2614012292893,1923.9330406578963,25.24246992396484,1923.2612943351558,3698934.0062877387,0.06213833822239689
68,2120.6723855607393,1029.1886834316288,1923.2612943351555,40.894404815761426,1920.3004758271154,3687553.917461846,0.06907355013340552
69,2120.6723855607393,1038.845254956849,1920.3004758271156,103.20772139418953,1913.0466943996498,3659747.654953427,0.07489869722821828
70,2120.6723855607393,1063.6268943213972,1913.0466943996498,125.20159942451511,1902.7561565885183,3620480.9914355096,0.09477969779854786
71,2120.6723855607393,1100.5079510818373,1902.7561565885183,143.55349849592255,1894.6160845226168,3589570.1077318112,0.06976414975428749
72,2120.6723855607393,1108.339049311862,1894.6160845226168,64.579391547985,1892.9920824904125,3583419.024371389,0.02737637028824166
73,2120.6723855607393,1110.8812602647283,1892.9920824904127,15.814391793834876,1892.708130467115,3582344.067136322,0.020197507559220743
74,2120.6723855607393,1111.021295491531,1892.708130467115,16.013344677424044,1892.1803384092286,3580346.433062463,0.021216331605537948
75,2120.6723855607393,1117.0592694279992,1892.1803384092286,40.89440481576145,1890.5881478149088,3574323.5446582073,0.026244965415897714
76,2120.6723855607393,1134.3497252699365,1890.5881478149086,64.44792846102143,1888.2343080670178,3565428.8021613294,0.03173643344831795
77,2120.6723855607393,1145.0506254535014,1888.2343080670175,64.70878407629253,1887.0426337770048,3560929.9016920547,0.03548027395674568
78,2120.6723855607393,1154.471369276085,1887.0426337770048,24.29089028433127,1886.5690084637274,3559142.6236958117,0.027757725645771666
79,2120.6723855607393,1160.9301004791823,1886.5690084637276,40.89440481576143,1885.4539522057582,3554936.6058883136,0.027168279853410544
80,2120.6723855607393,1165.4927896446047,1885.453952205758,40.89440481576143,1884.6611101749556,3551947.5002058963,0.023146715933262226
81,2120.6723855607393,1162.9511767820727,1884.6611101749556,22.38724054383821,1884.4809243271022,3551268.3541527297,0.010221616635122378
82,2120.6723855607393,1159.9631366140252,1884.480924327102,32.46189021103029,1884.1896453428958,3550170.6196173877,0.07134847437273013
83,2120.6723855607393,1159.2993388024358,1884.189645342896,28.81971114353216,1883.2114463790579,3546485.3517731032,0.06268176309255907
84,2120.6723855607393,1163.647969632733,1883.2114463790579,40.894404815761426,1881.230490079749,3539028.1568056922,0.06499738947860913
85,2120.6723855607393,1179.0422405203983,1881.230490079749,81.61051396441223,1879.0474560611294,3530819.3421298023,0.06738657846497537
86,2120.6723855607393,1181.6020275702067,1879.0474560611294,11.642952584504073,1878.7549406424985,3529720.126988598,0.04798996569538286
87,2120.6723855607393,1186.469154335483,1878.7549406424985,28.819711143532153,1877.852227921287,3526328.9899089416,0.0297525486217693
88,2120.6723855607393,1193.4071473490196,1877.852227921287,42.31876803678083,1876.9110955159924,3522795.2604710427,0.027909736054334205
89,2120.6723855607393,1193.9866332199088,1876.9110955159924,16.013344677424044,1876.1076006818846,3519779.7293363377,0.02939969684745155
90,2120.6723855607393,1196.3748966538692,1876.1076006818846,40.894404815761426,1872.8718669193427,3507649.029897944,0.019417537663978173
91,2120.6723855607393,1210.9266686496996,1872.8718669193427,103.20772139418953,1865.420322305626,3479792.978870826,0.08206297991005586
92,2120.6723855607393,1247.1130882446446,1865.4203223056256,125.20159942451511,1856.2561666738613,3445686.956314738,0.1047445875496237
93,2120.6723855607393,1270.5035557581002,1856.2561666738611,104.02992053138526,1852.3616710829767,3431243.760497318,0.10011720394703613
94,2120.6723855607393,1284.6497260822755,1852.3616710829767,53.15828344367536,1849.835639830298,3421891.8943863683,0.09769751881249072
95,2120.6723855607393,1302.9612386297804,1849.8356398302983,81.61051396441225,1844.4632523751668,3402044.6893623783,0.09594661788905065
96,2120.6723855607393,1315.951643364569,1844.4632523751668,104.01932541245449,1838.0436921301425,3378404.6141794063,0.09400078426318735
97,2120.6723855607393,1324.574861827442,1838.0436921301425,81.85423240290916,1835.7187574436389,3369863.3564304174,0.07994974226922143
98,2120.6723855607393,1329.088947268939,1835.7187574436389,40.89440481576145,1833.2373844741953,3360759.3078337885,0.070813149614947
99,2120.6723855607393,1345.26290468525,1833.2373844741953,81.61051396441225,1827.3609217905978,3339247.938487383,0.08694822448637253
100,2120.6723855607393,1364.7981803968655,1827.3609217905976,121.70282587149416,1819.534467344754,3310705.6778555573,0.08720967960028943
101,2120.6723855607393,1356.4866858828927,1819.534467344754,107.49144592656911,1814.4003151756542,3292048.503709513,0.044876764492340536
102,2120.6723855607393,1352.7707748472444,1814.400315175654,29.171853629817303,1812.9581376621327,3286817.2089153486,0.037974140134161435
103,2120.6723855607393,1360.445891300928,1812.9581376621325,64.44792846102146,1808.0003394585226,3268865.227482133,0.044220029800270046
104,2120.6723855607393,1369.0904685175933,1808.0003394585226,121.70282587149418,1797.048553776084,3229383.504628715,0.06302535160769157
105,2120.6723855607393,1378.4623920637202,1797.048553776084,146.171533449401,1779.8130815856932,3167734.6053835615,0.2066551802076898
106,2120.6723855607393,1396.9539956378896,1779.813081585693,164.97233361015333,1758.9580847490827,3093933.543904161,0.16582540719855965
107,2120.6723855607393,1420.233585398498,1758.9580847490827,164.9723336101533,1741.7692181005984,3033760.00912277,0.11102970269597687
108,2120.6723855607393,1424.9281189105473,1741.7692181005987,131.34345390597122,1736.174778988646,3014302.863196274,0.053709934876506514
109,2120.6723855607393,1427.4373773521822,1736.174778988646,13.352526592755357,1735.9300405163171,3013453.1055669826,0.06025077773436398
110,2120.6723855607393,1431.9653290540653,1735.9300405163171,32.585933108819084,1735.3042695337763,3011280.907862153,0.0493304741757521
111,2120.6723855607393,1428.0601479909108,1735.304269533776,28.81971114353216,1734.2241449996357,3007533.3850997174,0.047241268580688264
112,2120.6723855607393,1434.57257873491,1734.2241449996357,41.768159931009464,1733.541947321037,3005167.683121613,0.03481563187194725
113,2120.6723855607393,1436.091608754039,1733.541947321037,28.819711143532153,1732.4828438441493,3001496.8042143113,0.10979158113099288
114,2120.6723855607393,1437.2770283218558,1732.4828438441489,64.70878407629252,1729.728507668121,2991960.710239785,0.07283343926003147
115,2120.6723855607393,1445.18357672136,1729.728507668121,64.44792846102143,1726.524275171441,2980886.07275627,0.06815379195381163
116,2120.6723855607393,1451.2964226030313,1726.5242751714409,41.08604066505219,1725.2512567808271,2976491.8990238234,0.07552109800725305
117,2120.6723855607393,1452.3685801927384,1725.2512567808271,40.89440481576143,1721.333096580415,2962987.62938312,0.09367906229067566
118,2120.6723855607393,1467.9484169490688,1721.3330965804155,107.49144592656914,1710.708305895108,2926522.9078585105,0.08305606480452654
119,2120.6723855607393,1496.6397194443605,1710.708305895108,143.55349849592258,1694.6549673194459,2871855.458260472,0.09192446220833654
120,2120.6723855607393,1528.1616523077626,1694.6549673194459,146.17153344940104,1681.5696150362962,2827676.3702133177,0.05696090563765685
121,2120.6723855607393,1544.779626580066,1681.5696150362962,64.59121615818268,1678.1808360360358,2816290.918438608,0.059874070059235056
122,2120.6723855607393,1551.873387430857,1678.180836036036,81.53815521992833,1671.0750478923371,2792491.815688377,0.07805446600908214
123,2120.6723855607393,1574.2190132982112,1671.0750478923374,125.2015994245151,1659.780245699862,2754870.464015494,0.05298845900695407
124,2120.6723855607393,1586.532535652007,1659.780245699862,121.70282587149417,1653.2700930163394,2733302.0004622554,0.08452652832344068
125,2120.6723855607393,1589.9605981964362,1653.2700930163392,41.086040665052174,1651.4211837188534,2727191.926035379,0.05231401056901149
126,2120.6723855607393,1604.3226011506472,1651.4211837188534,64.44792846102143,1647.6627785232142,2714792.6317308387,0.0631694746056525
127,2120.6723855607393,1612.342243933711,1647.6627785232142,81.53815521992831,1645.099260033533,2706351.575362878,0.06481338037488851
128,2120.6723855607393,1609.457187240823,1645.099260033533,21.876349416685255,1643.950564563011,2702573.4587270427,0.061292485986282993
129,2120.6723855607393,1623.2717762332252,1643.9505645630109,64.44792846102143,1640.5765452406497,2691491.4007937456,0.058629210790268976
130,2120.6723855607393,1634.294725785208,1640.57654524065,81.61051396441225,1635.2445963500975,2674024.889892193,0.04252290405079586
131,2120.6723855607393,1635.8941876372996,1635.2445963500975,104.01932541245453,1630.554644089522,2658708.447361908,0.09223106263435239
132,2120.6723855607393,1631.4757417822061,1630.554644089522,43.91615609117638,1629.7718120307186,2656156.159289892,0.05181984909694007
133,2120.6723855607393,1631.0396629753795,1629.7718120307186,40.89440481576143,1628.5564619122395,2652196.149636111,0.041990657252557684
134,2120.6723855607393,1628.7058035164507,1628.5564619122395,45.829313557613496,1626.5709388639173,2645733.019156645,0.04461374327128584
135,2120.6723855607393,1627.539553634699,1626.5709388639173,64.72027134974803,1624.7035275351745,2639661.55238524,0.052766489986457644
136,2120.6723855607393,1625.2022461818874,1624.703527535175,31.466564257957362,1624.2317371813008,2638128.7360669863,0.09466296965751388
137,2120.6723855607393,1623.747876208382,1624.2317371813008,40.89440481576141,1622.948371570611,2633961.416783698,0.08233194251062087
138,2120.6723855607393,1626.1534070994105,1622.948371570611,64.44792846102146,1619.1472452716007,2621637.801870613,0.08036865028957525
139,2120.6723855607393,1628.3271775548567,1619.1472452716005,81.61051396441222,1610.7058966561635,2594373.4855229356,0.09653782404800372
140,2120.6723855607393,1635.947075098523,1610.705896656164,125.20159942451508,1596.2163039875347,2547906.489115626,0.14709098360458894
141,2120.6723855607393,1654.4437006649796,1596.2163039875347,143.55349849592255,1579.1161100521247,2493607.689026154,0.13059162320442758
142,2120.6723855607393,1679.4112825027655,1579.1161100521244,164.97233361015333,1563.8772127945042,2445711.936697907,0.12229049985487747
143,2120.6723855607393,1688.5477226321016,1563.8772127945042,126.00526414664809,1554.1166369847865,2415278.5213529025,0.11534226728483189
144,2120.6723855607393,1691.271312637871,1554.1166369847865,103.20772139418955,1548.2366726986484,2397036.7946889815,0.09979970477364679
145,2120.6723855607393,1700.68797445971,1548.2366726986484,81.61051396441226,1543.6097503816698,2382731.0614733608,0.08005112174894385
146,2120.6723855607393,1713.0457849294307,1543.6097503816695,81.61051396441219,1540.138149762961,2372025.5203552768,0.07513023714335462
147,2120.6723855607393,1720.259257333383,1540.138149762961,31.46656425795738,1539.3901857436956,2369722.14396401,0.08284108367135094
148,2120.6723855607393,1720.792270882311,1539.3901857436956,40.89440481576142,1537.139076201066,2362796.5395842665,0.08861814866663072
149,2120.6723855607393,1726.0936679036297,1537.1390762010662,64.44792846102146,1531.536148748631,2345602.9749237886,0.0913578476695113
150,2120.6723855607393,1733.194344418144,1531.536148748631,104.01932541245455,1522.2345622656815,2317198.062556191,0.11946730625619809
151,2120.6723855607393,1746.7646456104999,1522.2345622656817,121.70282587149414,1514.742949648739,2294446.2035105624,0.11078918123269073
152,2120.6723855607393,1750.8863162007026,1514.742949648739,41.08604066505219,1513.4511233730282,2290534.302839081,0.08655843825021374
153,2120.6723855607393,1751.810103572653,1513.451123373028,40.89440481576139,1510.788503632244,2282481.902707355,0.08543944012204009
154,2120.6723855607393,1756.5899406499425,1510.788503632244,81.61051396441228,1506.6309472816247,2269936.8113067257,0.07896136871884558
155,2120.6723855607393,1756.5878611844018,1506.630947281625,43.9161560911764,1505.1989888202352,2265623.9959454583,0.050979408872774
156,2120.6723855607393,1757.1895086198963,1505.1989888202352,28.819711143532192,1503.2329689683636,2259709.3589934413,0.023644654069112814
157,2120.6723855607393,1766.6107652260168,1503.2329689683636,81.61051396441222,1497.2544656287384,2241770.9348451993,0.04292345722894857
158,2120.6723855607393,1774.3772534218253,1497.2544656287387,104.01932541245452,1488.2410872828739,2214861.533876911,0.051366780936436075
159,2120.6723855607393,1780.893811835525,1488.2410872828739,125.20159942451508,1479.7723291959335,2189726.1462539583,0.02614791183856773
160,2120.6723855607393,1783.2818817763105,1479.7723291959335,62.62720929610326,1478.0101780038676,2184514.0862830244,0.04309299304941327
161,2120.6723855607393,1784.935041200766,1478.0101780038678,28.819711143532157,1476.2721522930788,2179379.467636039,0.07458837789070866
162,2120.6723855607393,1781.397390188948,1476.2721522930788,64.7087840762925,1472.070912176049,2166992.770474825,0.06971415018565315
163,2120.6723855607393,1788.193936798581,1472.070912176049,103.20772139418955,1465.409354278312,2147424.5756063797,0.03841260701336775
164,2120.6723855607393,1787.3669555079323,1465.4093542783123,107.49144592656911,1456.8800286267328,2122499.41781143,0.15999325381889118
165,2120.6723855607393,1790.35129404708,1456.8800286267328,104.0193254124545,1445.3440665837081,2089019.4708087305,0.13182359570976243
166,2120.6723855607393,1797.8228647187007,1445.3440665837081,146.17153344940104,1429.6125427581997,2043792.0224115653,0.1333188868360991
167,2120.6723855607393,1818.586014639851,1429.6125427581994,143.55349849592255,1412.4700163321868,1995071.547037448,0.10353191189959253
168,2120.6723855607393,1834.0913557480183,1412.470016332187,146.17153344940104,1395.1376760729697,1946409.1351982865,0.10162429536181689
169,2120.6723855607393,1850.3178257037027,1395.13767607297,146.171533449401,1383.1096187724645,1912992.217540912,0.08806532906758677
170,2120.6723855607393,1865.4339890412969,1383.1096187724645,104.01932541245452,1377.0434517378908,1896248.6679742048,0.07304407109274011
171,2120.6723855607393,1872.3617778324133,1377.0434517378908,81.81748051728692,1372.20323996066,1882941.7317585328,0.08171021135547794
172,2120.6723855607393,1880.257351801013,1372.2032399606603,81.61051396441219,1364.9902775623054,1863198.4578396196,0.08360195339309785
173,2120.6723855607393,1888.021683232513,1364.9902775623054,103.2077213941896,1354.5171778357999,1834716.78505226,0.08631999607751453
174,2120.6723855607393,1905.4466364389702,1354.5171778357999,125.20159942451511,1344.3717873390358,1807335.5025931536,0.07650339056730696
175,2120.6723855607393,1913.088152471207,1344.3717873390358,41.086040665052145,1341.7330480626636,1800247.5722635258,0.06128286736909794
176,2120.6723855607393,1913.7831122502575,1341.7330480626636,40.894404815761426,1335.7378035205027,1784195.479753777,0.05472361623670736
177,2120.6723855607393,1921.8371884760256,1335.7378035205027,121.70282587149417,1320.0254502679727,1742467.189355164,0.07367680461780221
178,2120.6723855607393,1941.2267086872223,1320.0254502679727,146.17153344940104,1297.6083205559923,1683787.353576143,0.11980611170603789
179,2120.6723855607393,1964.8843472131878,1297.6083205559923,164.9723336101533,1278.6959333044897,1635063.2898494399,0.11319282727478623
180,2120.6723855607393,1972.2452619820942,1278.69593330449,103.2791933482608,1274.013477383919,1623110.3405558656,0.05858715819871254
181,2120.6723855607393,1971.8122577762194,1274.0134773839193,40.89440481576144,1270.7998051217999,1614932.1446976045,0.06662215181223063
182,2120.6723855607393,1970.6118766531085,1270.7998051217999,73.88174046906477,1266.8131605161448,1604815.5836569036,0.06652665429360612
183,2120.6723855607393,1968.6636002839298,1266.8131605161448,41.492681555911545,1264.2701286518773,1598378.9582014342,0.07318861972840383
