winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,42.159,42.261,-0.102,42.816,43.645,-0.829,58.3592,34.4304,130.7326,0.454172
10,8,32,8,2048,512,96,1,43,2048,43.167,42.261,0.907,43.553,43.645,-0.092,50.4177,27.6453,103.0882,0.361022
11,8,32,8,2048,512,96,1,43,2048,44.355,42.261,2.094,44.34,43.645,0.696,39.3548,23.2028,89.7292,0.305516
12,8,32,8,2048,512,96,1,43,2048,45.188,42.261,2.927,45.422,43.645,1.777,29.8043,18.2107,67.2026,0.23828
13,8,32,8,2048,512,96,1,43,2048,45.864,42.261,3.604,46.519,43.645,2.875,25.0394,12.4516,48.881,0.161736
14,8,32,8,2048,512,96,1,43,2048,44.906,42.261,2.645,46.601,43.645,2.956,21.8591,11.9416,43.9361,0.157238
15,8,32,8,2048,512,96,1,43,2048,49.016,42.261,6.755,48.969,43.645,5.324,12.1274,7.9108,30.7173,0.10209
16,8,32,8,2048,512,96,1,43,2048,48.715,42.261,6.455,49.902,43.645,6.257,11.0015,6.1135,23.3388,0.079715
17,8,32,8,2048,512,96,1,43,2048,51.327,42.261,9.067,51.312,43.645,7.667,8.233,4.5759,17.6379,0.059812
18,8,32,8,2048,512,96,1,43,2048,51.296,42.261,9.035,51.954,43.645,8.309,5.8544,3.6533,12.9619,0.048224
19,8,32,8,2048,512,96,1,43,2048,52.732,42.261,10.471,54.607,43.645,10.962,2.5773,1.6045,5.9613,0.020577
20,8,32,8,2048,512,96,1,43,2048,56.234,42.261,13.973,57.472,43.645,13.827,1.4982,0.9665,3.7115,0.012263
21,8,32,8,2048,512,96,1,43,2048,51.475,42.261,9.214,54.049,43.645,10.404,1.632,0.8657,3.5038,0.011326
22,8,32,8,2048,512,96,1,43,2048,56.827,42.261,14.566,58.215,43.645,14.57,1.3751,0.7302,2.8596,0.009265
23,8,32,8,2048,512,96,1,43,2048,51.033,42.261,8.772,52.159,43.645,8.514,0.9996,0.5448,4.7924,0.006202
24,8,32,8,2048,512,96,1,43,2048,52.17,42.261,9.909,55.673,43.645,12.028,0.6809,0.4326,2.2576,0.005559
25,8,32,8,2048,512,96,1,43,2048,49.413,42.261,7.152,50.088,43.645,6.444,5.9222,5.7616,35.4841,0.064944
26,8,32,8,2048,512,96,1,43,2048,30.378,42.261,-11.883,33.363,43.645,-10.281,21.5876,17.3258,118.7251,0.203848
27,8,32,8,2048,512,96,1,43,2048,39.343,42.261,-2.918,40.393,43.645,-3.252,58.6301,55.3048,176.2736,0.715901
28,8,32,8,2048,512,96,1,43,2048,22.045,42.261,-20.216,24.623,43.645,-19.022,89.1202,65.5083,402.7556,0.776465
