winIdx,k_theory,M,Hop,N,K,wLen,Fmin_Hz,Fmax_Hz,sL,SER_DFTQ_ideal,SER_OBBQ_ideal,delta_ideal,SER_DFTQ_fir,SER_OBBQ_fir,delta_fir,blockErr_mean,blockErr_std,blockErr_max,blockErr_trend
9,8,32,8,2048,512,96,1,43,2048,43.552,48.998,-5.447,43.594,50.003,-6.41,63.7068,33.0645,135.733,0.427145
10,8,32,8,2048,512,96,1,43,2048,43.178,48.998,-5.82,43.433,50.003,-6.57,70.2684,33.2501,138.5804,0.439695
11,8,32,8,2048,512,96,1,43,2048,40.956,48.998,-8.043,43.899,50.003,-6.104,51.9622,24.4722,117.7244,0.320742
12,8,32,8,2048,512,96,1,43,2048,39.749,48.998,-9.25,43.748,50.003,-6.255,43.1546,18.6368,103.7554,0.241309
13,8,32,8,2048,512,96,1,43,2048,46.421,48.998,-2.577,46.411,50.003,-3.592,31.6686,16.2031,75.0487,0.211684
14,8,32,8,2048,512,96,1,43,2048,45.536,48.998,-3.463,46.883,50.003,-3.12,24.8802,10.5923,49.7872,0.136194
15,8,32,8,2048,512,96,1,43,2048,48.259,48.998,-0.739,49.181,50.003,-0.822,16.9287,7.6859,32.9541,0.099152
16,8,32,8,2048,512,96,1,43,2048,48.191,48.998,-0.807,49.795,50.003,-0.208,9.9511,5.0487,23.9896,0.063939
17,8,32,8,2048,512,96,1,43,2048,51.765,48.998,2.766,51.729,50.003,1.726,9.8196,4.8973,21.9649,0.064892
18,8,32,8,2048,512,96,1,43,2048,51.291,48.998,2.293,53.037,50.003,3.034,4.7243,2.4872,10.8681,0.031184
19,8,32,8,2048,512,96,1,43,2048,53.987,48.998,4.988,54.591,50.003,4.588,3.3373,1.9748,9.1599,0.025469
20,8,32,8,2048,512,96,1,43,2048,52.297,48.998,3.298,55.052,50.003,5.049,2.1744,1.101,5.4116,0.014158
21,8,32,8,2048,512,96,1,43,2048,56.127,48.998,7.129,57.435,50.003,7.432,1.1429,0.6178,2.8357,0.007694
22,8,32,8,2048,512,96,1,43,2048,53.202,48.998,4.204,57.324,50.003,7.321,1.1909,0.8236,3.2185,0.010778
23,8,32,8,2048,512,96,1,43,2048,53.719,48.998,4.72,55.888,50.003,5.885,1.1729,0.7438,2.876,0.009897
24,8,32,8,2048,512,96,1,43,2048,49.909,48.998,0.911,51.048,50.003,1.045,7.1286,5.1931,35.1094,0.057884
25,8,32,8,2048,512,96,1,43,2048,47.54,48.998,-1.458,48.558,50.003,-1.445,9.8372,10.5347,112.7973,0.103494
26,8,32,8,2048,512,96,1,43,2048,25.699,48.998,-23.299,28.861,50.003,-21.142,29.9023,17.3823,128.3563,0.183026
27,8,32,8,2048,512,96,1,43,2048,32.383,48.998,-16.616,35.838,50.003,-14.165,53.3972,46.6756,382.4972,0.489403
28,8,32,8,2048,512,96,1,43,2048,29.465,48.998,-19.534,31.611,50.003,-18.392,165.5511,129.1267,558.2005,1.674189
